"Issue #","Title","State","Author","Assignees","Type labels","Milestone","Created","Commented","Total comments","Positive reactions","Negative reactions","Participants"
234,"[cloud-provider-yandex] implement YandexInstanceClass validating","OPEN","31337Ghost","","enhancement",,"2021-10-18","",0,0,0,2
235,"[deckhouse] mute alerts about deckhouse pod during the release upgrade","OPEN","31337Ghost","","enhancement",,"2021-10-18","",0,0,0,2
236,"[modules] add an annotation to component's controllers containing used software version","OPEN","31337Ghost","","enhancement",,"2021-10-18","",0,0,0,2
237,"[cloud-provider-*] fire an alert if ccm reconcile failed","OPEN","31337Ghost","","enhancement",,"2021-10-18","",0,0,0,2
238,"Ошибка выпуска сертификата на baremetal ноде","OPEN","mobilesfinks","","",,"2021-10-18","",0,0,0,1
239,"[node-manager] Nodes update windows","CLOSED","nabokihms","yalosev","enhancement","v1.26.0","2021-10-18","2021-11-16",1,0,0,2
240,"[monitoring][grafana-dashboards] New dashboard definition format — CR rendering","OPEN","apolovov","","enhancement",,"2021-10-18","",0,0,0,2
241,"[monitoring][grafana-dashboards] New dashboard definition format — CR implementing","OPEN","apolovov","","enhancement",,"2021-10-18","",0,0,0,1
242,"[ingress-nginx] allow additional inlet ports","OPEN","31337Ghost","","enhancement",,"2021-10-19","",0,15,0,16
243,"[node-manager] Nodes annotations are not synced with node group template annotations","OPEN","konstantin-axenov","","bug",,"2021-10-19","",0,2,0,3
244,"[node-manager] approvalMode Automatic is broken","OPEN","konstantin-axenov","","bug",,"2021-10-20","",0,0,0,1
245,"[prometheus] Grafana notification channels provisioning","OPEN","nabokihms","name212","feature-request","v1.29.0","2021-10-21","2021-12-07",3,7,0,10
246,"[docs] How do I upgrade a cluster version?","OPEN","z9r5","","",,"2021-10-22","",0,0,0,1
247,"[cloud-provider-*] add support for natgw in each zone of multiAZ installations","OPEN","khamadiev","","feature-request",,"2021-10-22","2021-12-02",1,13,0,15
248,"[Upmeter] Agent fails to calculate probe status series due to different probe periods","CLOSED","shvgn","shvgn","bug","v1.27.0","2021-10-26","",0,0,0,3
249,"[Upmeter] ""limit reached"" error in status series calculation for smoke-mini DNS probe","OPEN","shvgn","shvgn","bug",,"2021-10-26","",0,0,0,2
250,"[Upmeter] In smoke-mini resheduler hook consider ""no smoke-mini StatefulSet chosen"" not to be an error","CLOSED","shvgn","shvgn","","v1.26.0","2021-10-26","",0,0,0,2
251,"[terraform-manager] D8TerraformStateExporterHasErrors never alerts","OPEN","apolovov","","bug",,"2021-10-26","",0,0,0,2
252,"[monitoring-kubernetes-control-plane] provide a useful dashboard to investigate apiserver abnormal load","OPEN","31337Ghost","","feature-request",,"2021-10-26","",0,0,0,2
253,"[Upmeter] Probe garbage collection affects probe statuses and logs erros","CLOSED","shvgn","shvgn","bug","v1.27.0","2021-10-27","",0,0,0,3
254,"[log-shipper] Problems with CRD.","CLOSED","gyrter","","",,"2021-10-27","",0,0,0,1
255,"[log-shipper] Logs stuck after upgrade to actual vector","CLOSED","gyrter","gyrter","bug","v1.26.0","2021-10-27","2021-12-02",4,1,0,4
256,"[global-hooks][deckhouse_registry] confusing values path","OPEN","apolovov","","bug",,"2021-10-27","",0,0,0,2
257,"[containerd] reduce logging severity level","OPEN","31337Ghost","","enhancement",,"2021-10-28","",0,0,0,2
258,"Save new and edited dashboards from Grafana to CRDs","OPEN","zuzzas","","feature-request",,"2021-10-28","",0,0,0,1
261,"[benchmark-reports] implement a way to run benchmarks in the cluster","OPEN","31337Ghost","","feature-request",,"2021-10-29","",0,0,0,2
262,"Support custom CAs in the image-availability-exporter","OPEN","zuzzas","","feature-request",,"2021-11-01","",0,0,0,1
263,"Bootstrap does not disable swap on static cluster","OPEN","name212","","",,"2021-11-01","",0,0,0,2
264,"Fix draining procedure if only a single ""deckhouse.io=system` is present","OPEN","zuzzas","","bug",,"2021-11-01","",0,0,0,1
265,"[node-manager] Add static nodegroup example","CLOSED","gyrter","gyrter","","v1.27.0","2021-11-01","",0,0,0,3
266,"[bashible] Some system does not include lsb_release binary","CLOSED","gyrter","RomanenkoDenys","","v1.27.0","2021-11-02","2021-11-18",2,0,0,4
267,"Update CSI components to the latest version, consider implementing dependency update tracking","OPEN","zuzzas","","feature-request",,"2021-11-03","",0,0,0,2
268,"Implement Userspace OOM killer","OPEN","zuzzas","zuzzas","feature-request","v1.29.0","2021-11-03","",0,0,0,2
269,"[log-shipper] Extend namespace selector for ClusterLoggingConfig","OPEN","gyrter","","feature-request",,"2021-11-05","2021-11-24",1,13,0,15
270,"[docs][getting started] Refresh password","OPEN","z9r5","","",,"2021-11-08","",0,0,0,1
271,"[docs] Render object in an example field of an open API schema in YAML","OPEN","z9r5","","",,"2021-11-08","",0,0,0,1
272,"Panic on `dhctl bootstrap` command","OPEN","name212","","bug",,"2021-11-08","",0,0,0,2
273,"[ingress-nginx] add the ability to set a default certificate","OPEN","alexey-gavrilov-flant","31337Ghost","feature-request","v1.29.0","2021-11-09","2021-11-18",1,20,0,24
274,"Remove the old nginx-ingress module from the codebase","CLOSED","EvgenySamoylov","nabokihms","refactoring","v1.28.0","2021-11-09","2021-12-09",1,0,0,2
275,"Add ability to disable log-shipper for node group","OPEN","duckhawk","","feature-request",,"2021-11-09","",0,1,0,3
276,"[node-manager] Require cloudInstances section for CloudEphemeral nodes in NodeGroup","CLOSED","vitaliy-sn","vitaliy-sn","","v1.28.0","2021-11-10","2021-12-02",1,0,0,3
277,"[log-shipper] Generated config can contain same names for sources and sinks","CLOSED","gyrter","","","v1.27.0","2021-11-11","2021-11-11",2,1,0,3
278,"[docs] Include common info about how to enable/disable module into a configuration page of a module","OPEN","z9r5","","",,"2021-11-12","",0,0,0,1
279,"[dhctl] check if a newer dhctl version is available during pre-flight before the bootstrap","OPEN","31337Ghost","","enhancement",,"2021-11-12","",0,0,0,2
280,"[log-shipper] Extend FAQ section in docs","CLOSED","gyrter","","",,"2021-11-12","2021-11-24",1,1,0,3
281,"[Upmeter] Smoke-mini pods pending because the resheduler hook does not delete PVC when zone changes","OPEN","shvgn","shvgn","bug","v1.29.0","2021-11-13","",0,0,0,3
282,"[log-shipper] Elasticsearch supper broken","CLOSED","gyrter","","","v1.26.0","2021-11-15","2021-11-16",1,0,0,2
283,"[extended-monitoring] CronJobFailed when it hasn't been failed","OPEN","apolovov","","bug",,"2021-11-15","",0,0,0,1
284,"[kubernetes] Scale to zero","OPEN","nabokihms","","feature-request",,"2021-11-16","",0,9,0,11
297,"[log-shipper] connective graylog + log-shipper through logstash","OPEN","ruslangizatulin-flant","","",,"2021-11-16","2021-11-16",1,0,0,2
298,"[getting started] Add config validation","CLOSED","gyrter","z9r5","","v1.28.0","2021-11-17","2021-11-22",1,0,0,4
299,"[prometheus-metrics-adapter] scrape its metrics","OPEN","31337Ghost","","",,"2021-11-17","",0,0,0,1
300,"[docs] Update article ""How does the mechanism of automatic stabilization of the release channel work""","OPEN","z9r5","","",,"2021-11-17","",0,0,0,1
302,"To build tools images for basible on CI","OPEN","EvgenySamoylov","RomanenkoDenys","feature-request","v1.29.0","2021-11-18","",0,0,0,2
303,"Add support of the Kubernetes 1.22","OPEN","EvgenySamoylov","31337Ghost","","v1.29.0","2021-11-18","",0,2,0,4
304,"[ceph-csi] New module","OPEN","nabokihms","vitaliy-sn","feature-request","v1.29.0","2021-11-18","",0,0,0,3
305,"[control-plane-manager] Add authentication webhook support","OPEN","nabokihms","name212","feature-request","v1.29.0","2021-11-18","",0,0,0,3
306,"[dhctl][deckhouse] Use same deployment template for `dhctl bootstrap` and 020-deckhouse module ","OPEN","name212","","enhancement",,"2021-11-19","",0,1,0,2
307,"[flant-integration] export metrics about Istio module","OPEN","31337Ghost","","",,"2021-11-19","",0,0,0,1
313,"[argocd] New module","OPEN","nabokihms","","feature-request",,"2021-11-23","",0,0,0,1
314,"[Upmeter] Web pages upmeter.* and status.* load slowly","OPEN","shvgn","shvgn","",,"2021-11-23","",0,0,0,2
315,"[Upmeter] Fix agent memory leak","CLOSED","shvgn","shvgn","bug","v1.27.0","2021-11-23","2021-12-02",1,0,0,2
316,"[descheduler] Flexible tuning of pods filters","OPEN","konstantin-axenov","","feature-request",,"2021-11-23","",0,0,0,1
317,"Modify layout for AWS with bastion instance, so that it allows SSH to cluster only from the bastion host","OPEN","zuzzas","","feature-request",,"2021-11-24","",0,0,0,1
318,"[log-shipper] Add debug log setting","OPEN","gyrter","","",,"2021-11-24","",0,0,0,1
319,"[prometheus-custom] prometheus organizes scrape target for every container in Pod with prometheus.deckhouse.io/port annotation","CLOSED","apolovov","nabokihms","",,"2021-11-24","2021-12-02",2,0,0,3
320,"[user-authz][webhook] Regression: resource apiextensions.k8s.io//customresourcedefinitions is not found in cluster","CLOSED","apolovov","name212,nabokihms","bug",,"2021-11-25","2021-12-06",1,0,0,4
321,"[node-manager] Allow tuning kubelet's ""allowedUnsafeSysctls""","OPEN","zuzzas","","feature-request",,"2021-11-26","",0,0,0,1
322,"[ingress-nginx] Allow changing ""log_format""","CLOSED","zuzzas","yalosev","feature-request","v1.29.0","2021-11-26","2021-12-10",2,0,0,4
323,"[openvpn] Dynamic routes for nodes","OPEN","gyrter","","",,"2021-11-29","",0,0,0,1
324,"[prometheus] Does not use new certificates from prometheus-scraper-tls without restarting the pod","OPEN","vitaliy-sn","","bug",,"2021-11-29","",0,0,0,1
325,"[log-shipper] Add ability to use datastream for elasticsearch","CLOSED","gyrter","yalosev","","v1.29.0","2021-11-29","",0,12,0,14
326,"[site] Improve site search","OPEN","z9r5","","",,"2021-11-29","",0,1,0,1
327,"[cloud-provider-aws] EBS encryption","OPEN","vitaliy-sn","","feature-request",,"2021-11-30","",0,0,0,1
328,"[Yandex Cloud Provider] Add a setting for CPU generation","OPEN","shvgn","","enhancement",,"2021-11-30","",0,0,0,2
329,"[user-authn] Host Aliases for kube-api server may be overridden","OPEN","nabokihms","","bug",,"2021-11-30","2021-12-08",1,0,0,1
330,"[global] Values refactoring","OPEN","nabokihms","","enhancement",,"2021-12-01","",0,0,0,1
331,"[deckhouse] Add custom changelog to releases","OPEN","nabokihms","yalosev","enhancement",,"2021-12-01","",0,0,0,2
332,"[deckhouse] Canary updating","OPEN","nabokihms","yalosev","feature-request","v1.29.0","2021-12-01","2021-12-01",2,0,0,3
333,"Enrich master nodegroup scaling docs","OPEN","evstratbg","z9r5","enhancement",,"2021-12-01","2021-12-08",1,0,0,3
334,"[monitoring-kubernetes] Incorrect VPA coverage of controllers in namespace on namespaces dashboard","OPEN","konstantin-axenov","","bug",,"2021-12-01","",0,1,0,3
335,"[candi] kubelet fails to start several times after node reboot","OPEN","konstantin-axenov","","bug",,"2021-12-02","",0,0,0,2
336,"[bashible] Docker face slapper (pods stuck in terminating)","OPEN","nabokihms","","enhancement",,"2021-12-03","",0,0,0,1
337,"[control-plane-manager] Default audit policy","OPEN","nabokihms","31337Ghost","enhancement",,"2021-12-06","",0,0,0,2
338,"[user-authn] Google provider support","OPEN","nabokihms","","feature-request",,"2021-12-06","",0,0,0,2
340,"[deckhouse] Increase pending releases alert severity based on their quantity","OPEN","nabokihms","yalosev","enhancement",,"2021-12-07","",0,0,0,2
341,"[bashible]kubernetes-data mount issues","OPEN","apolovov","apolovov","bug","v1.29.0","2021-12-07","",0,0,0,2
344,"Release v1.29.0","OPEN","diafour","","","v1.29.0","2021-12-08","2021-12-15",34,0,0,2
345,"[user-authn] Split dex certificate into two","OPEN","nabokihms","","enhancement",,"2021-12-09","",0,0,0,2
346,"[ingress-nginx] No metrics for locations which contains a number sign","OPEN","nabokihms","","bug",,"2021-12-09","",0,0,0,2
347,"[upmeter] Let set node selector and tolerations to the server","CLOSED","shvgn","shvgn","","v1.29.0","2021-12-09","",0,0,0,3
348,"[upmeter] Successful probe with unavailable prometheus","CLOSED","shvgn","shvgn","","v1.29.0","2021-12-09","",0,0,0,2
360,"LocalPathProvisioner: Retain retention policy","OPEN","mac2000","","enhancement",,"2021-12-10","",0,1,0,2
363,"proposal: [documentation] LocalPathProvisioner examples are not clear enough","OPEN","mac2000","","",,"2021-12-10","",0,0,0,1
365,"[extended-monitoring] Alert about certificate expiration","OPEN","nabokihms","","feature-request",,"2021-12-10","",0,0,0,1
373,"add Wireguard support","OPEN","31337Ghost","","",,"2021-12-12","",0,0,0,2
386,"[extended-monitoring] Automatically set enabled labels on namespaces by regex","OPEN","nabokihms","kvaps","",,"2021-12-13","",0,1,0,3
390,"[cert-manager] acme dns01 recursive nameservers","OPEN","yalosev","","",,"2021-12-13","",0,0,0,2
396,"Troubleshooting doc for the log-shipper usage and configuration needed","OPEN","EvgenySamoylov","RomanenkoDenys","",,"2021-12-13","",0,0,0,2
407,"[node-manager] Changing CRI from Containerd to NotManaged generates invalid kubelet config","OPEN","konstantin-axenov","","bug",,"2021-12-14","",0,0,0,1
410,"[vertical-pod-autoscaler] Hook set_max_allowed triggers evictions on Deckhouse restart","OPEN","nabokihms","","",,"2021-12-15","",0,0,0,1
413,"[dhctl] Prepare a new user-side command line tool","OPEN","kvaps","","feature-request",,"2021-12-15","2021-12-15",1,0,0,3
414,"Add Makefile","OPEN","kvaps","","",,"2021-12-15","",0,1,0,2
